Serial Number,Artist,Song Name,Year,Spotify URL
SN-001,Chumbawamba,Tubthumping,1997,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
SN-002,Lovedrug,Salt of the Earth,2007,https://open.spotify.com/track/365XTZK21DDew01PgO8T0a
SN-003,The White Stripes,Seven Nation Army,2003,https://open.spotify.com/track/3m6KkYKdnbffMpGd9Pm9FP
SN-004,Starship,Don't Stop Believing,2009,https://open.spotify.com/track/4iIVsaOFYcutuOUslA79P2
SN-005,Black Sabbath,Iron Man,1970,https://open.spotify.com/track/4HzdhXWJqczW6gOIXT6QRH
SN-006,AC/DC,Shoot to Thrill,2010,https://open.spotify.com/track/6GzCkTddOn1vSln1gbSr8y
SN-007,AC/DC,Thunderstruck,2010,https://open.spotify.com/track/52UWtKlYjZO3dHoRlWuz9S
SN-008,AC/DC,Back In Black,2010,https://open.spotify.com/track/2iEGj7kAwH7HAa5epwYwLB
SN-009,AC/DC,Highway to Hell,2010,https://open.spotify.com/track/1OIYK9Ya6EgwJ4fMngrPcK
SN-010,Imagine Dragons,Radioactive,2012,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
SN-011,Guns N' Roses,Paradise City,1987,https://open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko
SN-012,Guns N' Roses,Welcome To The Jungle,1987,https://open.spotify.com/track/0bVtevEgtDIeRjCJbK3Lmv
SN-013,Guns N' Roses,You Could Be Mine,1991,https://open.spotify.com/track/1BDKqhEFRW5d9Y5CVXNUL1
SN-014,Brick + Mortar,Locked In A Cage,2013,https://open.spotify.com/track/1Z4bpgy49F5P9mQrp29OVK
SN-015,Simple Minds,All The Things She Said,1985,https://open.spotify.com/track/3moXCyaWymML7Ii4nKOvv9
SN-016,Queen,Under Pressure - Remastered 2011,1982,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
SN-017,Queen,We Will Rock You - Remastered 2011,1977,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
SN-018,Queen,I Want To Break Free - Single Remix,1984,https://open.spotify.com/track/3Au6174rC3JSzZN5BhCl3D
SN-019,Queen,We Are The Champions - Remastered 2011,1977,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
SN-020,Queen,Under Pressure,2002,https://open.spotify.com/track/5oidljiMjeJTWUGZ4TfFea
SN-021,Filter,Take a Picture,1999,https://open.spotify.com/track/2c5wml8wsBnPfNSbCZ574T
SN-022,Lynyrd Skynyrd,Sweet Home Alabama,1974,https://open.spotify.com/track/4CJVkjo5WpmUAKp3R44LNb
SN-023,Donovan,Atlantis,1969,https://open.spotify.com/track/0kcEK7YuNNfE7jiTnXS1cm
SN-024,The Who,Baba O'Riley,1971,https://open.spotify.com/track/2KmEgiY8fQs0G6WNxtzQKr
